ConstituentID,DateAcquired,Gender,Gender_NM,Department,,Decade,MPD_A,MPD_M,MPD_NM,,M in 1960,NM in 1960,M in 2000,NM in 2000
132152,1937,male,male,Drawings & Prints,,,,,,,,,,
4057,1937,male,male,Painting & Sculpture,,,,,,,,,,
3563,1937,male,male,Painting & Sculpture,,,,,,,,,,
3409,1937,male,male,Painting & Sculpture,,,,,,,,,,
6091,1937,male,male,Painting & Sculpture,,,,,,,,,,
399,1937,male,male,Architecture & Design,,,,,,,,,,
3464,1937,male,male,Painting & Sculpture,,,,,,,,,,
2548,1937,female,non-male,Drawings & Prints,,,,,,,,,,
5687,1937,male,male,Architecture & Design,,,,,,,,,,
2364,1937,male,male,Painting & Sculpture,,,,,,,,,,
4071,1937,male,male,Painting & Sculpture,,,,,,,,,,
452,1937,male,male,Drawings & Prints,,,,,,,,,,
2231,1937,male,male,Painting & Sculpture,,,,,,,,,,
5273,1937,male,male,Architecture & Design,,,,,,,,,,
262,1937,male,male,Drawings & Prints,,,,,,,,,,
1635,1937,male,male,Painting & Sculpture,,,,,,,,,,
8388,1937,male,male,Architecture & Design,,,,,,,,,,
5947,1937,male,male,Architecture & Design,,,,,,,,,,
8841,1937,male,male,Architecture & Design,,,,,,,,,,
741,1938,female,non-male,Architecture & Design,,,,,,,,,,
60,1938,male,male,Photography,,,,,,,,,,
5791,1938,male,male,Photography,,,,,,,,,,
734,1938,male,male,Photography,,,,,,,,,,
1717,1938,male,male,Photography,,,,,,,,,,
5091,1938,male,male,Photography,,,,,,,,,,
1741,1938,male,male,Painting & Sculpture,,,,,,,,,,
5631,1938,male,male,Photography,,,,,,,,,,
6459,1938,male,male,Architecture & Design,,,,,,,,,,
1908,1938,male,male,Painting & Sculpture,,,,,,,,,,
6129,1938,male,male,Architecture & Design,,,,,,,,,,
5869,1938,male,male,Drawings & Prints,,,,,,,,,,
835,1938,male,male,Architecture & Design,,,,,,,,,,
3272,1938,male,male,Photography,,,,,,,,,,
2043,1938,male,male,Painting & Sculpture,,,,,,,,,,
5182,1938,male,male,Photography,,,,,,,,,,
822,1938,male,male,Photography,,,,,,,,,,
6247,1938,male,male,Photography,,,,,,,,,,
5197,1938,male,male,Architecture & Design,,,,,,,,,,
3373,1938,female,non-male,Photography,,,,,,,,,,
32334,1938,male,male,Film,,,,,,,,,,
2648,1938,male,male,Photography,,,,,,,,,,
1430,1938,male,male,Photography,,,,,,,,,,
3795,1938,male,male,Photography,,,,,,,,,,
483,1938,male,male,Painting & Sculpture,,,,,,,,,,
4193,1938,male,male,Photography,,,,,,,,,,
3455,1938,male,male,Photography,,,,,,,,,,
6048,1938,male,male,Photography,,,,,,,,,,
5050,1938,male,male,Photography,,,,,,,,,,
317,1938,male,male,Painting & Sculpture,,,,,,,,,,
2954,1938,male,male,Photography,,,,,,,,,,
3668,1938,female,non-male,Painting & Sculpture,,,,,,,,,,
4775,1938,male,male,Painting & Sculpture,,,,,,,,,,
5735,1939,male,male,Drawings & Prints,,,,,,,,,,
6327,1939,male,male,Photography,,,,,,,,,,
6458,1939,male,male,Photography,,,,,,,,,,
5755,1939,male,male,Photography,,,,,,,,,,
2546,1939,male,male,Architecture & Design,,,,,,,,,,
1027,1939,male,male,Drawings & Prints,,,,,,,,,,
8102,1939,male,male,Architecture & Design,,,,,,,,,,
1332,1939,female,non-male,Photography,,,,,,,,,,
5854,1939,male,male,Painting & Sculpture,,,,,,,,,,
5575,1939,male,male,Painting & Sculpture,,,,,,,,,,
5242,1939,male,male,Architecture & Design,,,,,,,,,,
2667,1939,male,male,Painting & Sculpture,,,,,,,,,,
6745,1939,female,non-male,Drawings & Prints,,,,,,,,,,
6743,1939,male,male,Drawings & Prints,,,,,,,,,,
6744,1939,male,male,Drawings & Prints,,,,,,,,,,
3937,1939,male,male,Drawings & Prints,,,,,,,,,,
6228,1939,male,male,Architecture & Design,,,,,,,,,,
2089,1939,male,male,Drawings & Prints,,,,,,,,,,
4614,1939,male,male,Painting & Sculpture,,,,,,,,,,
7019,1939,male,male,Drawings & Prints,,,,,,,,,,
3733,1939,male,male,Painting & Sculpture,,,,,,,,,,
5451,1939,female,non-male,Painting & Sculpture,,,,,,,,,,
2768,1939,male,male,Painting & Sculpture,,,,,,,,,,
4845,1939,male,male,Painting & Sculpture,,,,,,,,,,
3440,1939,male,male,Painting & Sculpture,,,,,,,,,,
4327,1939,male,male,Drawings & Prints,,,,,,,,,,
3349,1939,male,male,Drawings & Prints,,,,,,,,,,
5354,1939,male,male,Drawings & Prints,,,,,,,,,,
4773,1939,male,male,Drawings & Prints,,,,,,,,,,
1602,1939,male,male,Painting & Sculpture,,,,,,,,,,
